filename,class
blue_000.jpg,blue
blue_001.jpg,blue
blue_002.jpg,blue
blue_003.jpg,blue
blue_004.jpg,blue
blue_005.png,blue
blue_006.png,blue
blue_007.jpg,blue
blue_008.jpg,blue
blue_009.jpg,blue
blue_010.jpg,blue
blue_011.png,blue
blue_012.jpg,blue
blue_013.jpg,blue
blue_014.jpg,blue
blue_015.jpg,blue
blue_016.png,blue
blue_017.jpg,blue
blue_018.jpg,blue
blue_019.png,blue
blue_blur_00.png,blue
blue_bright_00.jpg,blue
blue_bright_02.jpg,blue
blue_dark_00.png,blue
blue_dark_01.png,blue
blue_dup_00.jpg,blue
blue_dup_04.png,blue
blue_dup_05.png,blue
blue_gray_02.png,blue
green_000.png,green
green_001.jpg,green
green_002.png,green
green_003.jpg,green
green_004.jpg,green
green_005.jpg,green
green_006.png,green
green_007.jpg,green
green_008.jpg,green
green_009.jpg,green
green_010.jpg,green
green_011.jpg,green
green_012.jpg,green
green_013.jpg,green
green_014.jpg,green
green_015.jpg,green
green_016.png,green
green_017.jpg,green
green_018.jpg,green
green_019.jpg,green
green_blur_02.jpg,green
green_dark_02.jpg,green
green_gray_00.png,green
green_gray_01.png,green
red_000.jpg,red
red_001.jpg,red
red_002.jpg,red
red_003.jpg,red
red_004.jpg,red
red_005.jpg,red
red_006.png,red
red_007.jpg,red
red_008.jpg,red
red_009.jpg,red
red_010.jpg,red
red_011.jpg,red
red_012.jpg,red
red_013.png,red
red_014.png,red
red_015.jpg,red
red_016.jpg,red
red_017.png,red
red_018.jpg,red
red_019.png,red
red_blur_01.jpg,red
red_blur_03.png,red
red_bright_01.jpg,red
red_dup_01.png,red
red_dup_02.jpg,red
red_dup_03.jpg,red
